OrderID,Customer_Name,Category,Sub_Category,City,Order_Date, Order_Year,Order_Month, Order_Quarter,Region,Sales,Discount,Profit,State
OD1,Harish,Oil & Masala,Masalas,Mumbai,2017-08-11,2017,Aug,Q3,West,1254,0.12,401.28,Maharashtra
OD2,Sudha,Beverages,Health Drinks,Unknown,2017-08-11,2017,Aug,Q3,Others,749,0.18,149.8,Andhra Pradesh
OD3,Hussain,Food Grains,Atta & Flour,Lucknow,2017-12-06,2017,Dec,Q4,North,2360,0.21,165.2,Uttar Pradesh
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Bengaluru,2016-11-10,2016,Nov,Q4,South,896,0.25,89.6,Karnataka
OD5,Ridhesh,Food Grains,Organic Staples,Ahmedabad,2016-11-10,2016,Nov,Q4,West,2355,0.26,918.45,Gujarat
OD6,Adavan,Food Grains,Organic Staples,Shimla,2015-09-06,2015,Sep,Q3,North,2305,0.26,322.7,Himachal Pradesh
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Lucknow,2015-09-06,2015,Sep,Q3,North,826,0.33,346.92,Uttar Pradesh
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Mumbai,2015-09-06,2015,Sep,Q3,West,1847,0.32,147.76,Maharashtra
OD9,Hafiz,Bakery,Biscuits,Lucknow,2015-09-06,2015,Sep,Q3,North,791,0.23,181.93,Uttar Pradesh
OD10,Krithika,Bakery,Cakes,Unknown,2015-09-06,2015,Sep,Q3,Others,1795,0.27,484.65,Andhra Pradesh
OD11,Ganesh,Snacks,Chocolates,New Delhi,2015-09-06,2015,Sep,Q3,North,1903,0.13,437.69,Delhi
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Unknown,2015-09-06,2015,Sep,Q3,Others,701,0.1,308.44,Andhra Pradesh
OD13,Sharon,Snacks,Cookies,Unknown,2019-03-04,2019,Mar,Q1,Others,1659,0.19,315.21,Andhra Pradesh
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Unknown,2017-10-11,2017,Oct,Q4,Others,1277,0.25,63.85,Andhra Pradesh
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Bhopal,2017-10-11,2017,Oct,Q4,Central,831,0.22,207.75,Madhya Pradesh
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Unknown,2016-01-05,2016,Jan,Q1,Others,1440,0.11,100.8,Andhra Pradesh
OD17,Alan,Bakery,Cakes,Unknown,2017-03-08,2017,Mar,Q1,Others,1678,0.28,318.82,Andhra Pradesh
OD18,Arutra,Beverages,Health Drinks,Unknown,2017-03-08,2017,Mar,Q1,Others,1617,0.19,113.19,Andhra Pradesh
